__source__,section,item_type,item_id,group,bar_offset,event_index,event_key,relation,bars_ago,field,value
,meta,field,module,,,,,,,module,shared
,meta,field,function,,,,,,,function,stock.price.latest
,meta,field,view,,,,,,,view,observation
,meta,field,indicator_level,,,,,,,indicator_level,advanced
,meta,field,trace_window,,,,,,,trace_window,32
,meta,field,result_type,,,,,,,result_type,DataFrame
,meta,field,requested_backend,,,,,,,requested_backend,efinance
,meta,field,resolved_backend,,,,,,,resolved_backend,efinance
,meta,field,final_backend,,,,,,,final_backend,efinance
,meta,field,candidate_chain,,,,,,,candidate_chain,[]
,meta,field,row_count,,,,,,,row_count,1
,meta,field,column_count,,,,,,,column_count,60
,result,section_row,result_1,,,,,,,symbol,000001
,result,section_row,result_1,,,,,,,name,平安银行
,result,section_row,result_1,,,,,,,close,10.87
,result,section_row,result_1,,,,,,,quote_id,0.000001
,result,section_row,result_1,,,,,,,market,深A
,result,section_row,result_1,,,,,,,open,10.91
,result,section_row,result_1,,,,,,,high,10.97
,result,section_row,result_1,,,,,,,low,10.85
,result,section_row,result_1,,,,,,,volume,452408
,result,section_row,result_1,,,,,,,turnover,493045160.77
,result,section_row,result_1,,,,,,,change_pct,-1.09
,result,section_row,result_1,,,,,,,change_amount,-0.12
,result,section_row,result_1,,,,,,,turnover_rate,0.23
,result,section_row,result_1,,,,,,,amplitude,1.09
,result,section_row,result_1,,,,,,,date,2026-06-04
,result,section_row,result_1,,,,,,,provider_name,efinance
,result,section_row,result_1,,,,,,,ma5,10.972
,result,section_row,result_1,,,,,,,ma10,10.843
,result,section_row,result_1,,,,,,,ma20,10.9315
,result,section_row,result_1,,,,,,,ema12,10.9096041523
,result,section_row,result_1,,,,,,,ema26,10.9607510519
,result,section_row,result_1,,,,,,,macd_dif,-0.0511468996
,result,section_row,result_1,,,,,,,macd_dea,-0.0690086942
,result,section_row,result_1,,,,,,,macd_histogram,0.0357235893
,result,section_row,result_1,,,,,,,rsi14,45.7913278491
,result,section_row,result_1,,,,,,,kdj_k,75.0
,result,section_row,result_1,,,,,,,kdj_d,88.1944444444
,result,section_row,result_1,,,,,,,kdj_j,48.6111111111
,result,section_row,result_1,,,,,,,boll_middle,10.9315
,result,section_row,result_1,,,,,,,boll_upper,11.3294585406
,result,section_row,result_1,,,,,,,boll_lower,10.5335414594
,result,section_row,result_1,,,,,,,atr14,0.1547476859
,result,section_row,result_1,,,,,,,obv,-11854607.0
,result,section_row,result_1,,,,,,,volume_ratio_5,0.5007757237
,result,section_row,result_1,,,,,,,roc12,0.0920810313
,result,section_row,result_1,,,,,,,bias6,-0.4578754579
,result,section_row,result_1,,,,,,,bbi,10.9351041667
,result,section_row,result_1,,,,,,,ppo,-0.4666368147
,result,section_row,result_1,,,,,,,ppo_signal,-0.6291813617
,result,section_row,result_1,,,,,,,trix,-0.1230994703
,result,section_row,result_1,,,,,,,tsi,-9.5451696766
,result,section_row,result_1,,,,,,,cci14,50.134903115
,result,section_row,result_1,,,,,,,williams_r14,-47.9166666667
,result,section_row,result_1,,,,,,,plus_di,23.3870178968
,result,section_row,result_1,,,,,,,minus_di,23.4166040873
,result,section_row,result_1,,,,,,,adx,14.8001885186
,result,section_row,result_1,,,,,,,donchian_upper,11.42
,result,section_row,result_1,,,,,,,donchian_lower,10.62
,result,section_row,result_1,,,,,,,keltner_upper,11.2494529314
,result,section_row,result_1,,,,,,,keltner_lower,10.6227609337
,result,section_row,result_1,,,,,,,natr14,1.4236217658
,result,section_row,result_1,,,,,,,supertrend,11.0942016938
,result,section_row,result_1,,,,,,,supertrend_direction,-1.0
,result,section_row,result_1,,,,,,,mfi14,45.7460637735
,result,section_row,result_1,,,,,,,pvt,81705.5752007783
,result,section_row,result_1,,,,,,,cmf20,-0.1766854679
,result,section_row,result_1,,,,,,,force_index13,15323.9508530772
,result,section_row,result_1,,,,,,,vwap,11.1271735798
,result,section_row,result_1,,,,,,,vr,79.6225675023
,result,section_row,result_1,,,,,,,psy,33.3333333333
